CropName,SoilType,Disease,Treatment,Practice,Region,GrowthDuration,OptimalTemp
Tapioca,Peaty,Rust,Resistant Varieties,Mulching,Madhya Pradesh,120 days,25–30°C
Dry Chillies,Laterite,Rust,Resistant Varieties,Organic Farming,Tamil Nadu,90 days,25–30°C
Soyabean,Black Cotton,Blight,Fungicide Spray,Mulching,Bihar,120 days,20–25°C
Gram,Red Loamy,Blight,Soil Solarization,Mulching,Assam,120 days,25–30°C
Tobacco,Red Loamy,Wilt,Fungicide Spray,Mulching,Gujarat,150 days,20–25°C
Coriander,Red Loamy,Wilt,Fungicide Spray,Mulching,Telangana,90 days,25–30°C
Arhar/Tur,Peaty,Wilt,Neem Extract,Mulching,Arunachal Pradesh,90 days,25–30°C
Turmeric,Sandy,Wilt,Fungicide Spray,Organic Farming,Madhya Pradesh,90 days,25–30°C
Urad,Black Cotton,Rust,Crop Rotation,Organic Farming,Nagaland,120 days,20–25°C
Urad,Red Loamy,Rust,Soil Solarization,Organic Farming,Nagaland,90 days,25–30°C
Tapioca,Red Loamy,Blight,Resistant Varieties,Organic Farming,Odisha,120 days,25–30°C
Dry Chillies,Peaty,Rust,Soil Solarization,Organic Farming,Uttar Pradesh,90 days,25–30°C
Garlic,Alluvial,Wilt,Neem Extract,Mulching,Bihar,120 days,25–30°C
Sesamum,Black Cotton,Rust,Soil Solarization,Organic Farming,Gujarat,90 days,20–25°C
Cardamom,Black Cotton,Wilt,Crop Rotation,Mulching,Chhattisgarh,120 days,20–25°C
Turmeric,Sandy,Wilt,Soil Solarization,Organic Farming,Meghalaya,150 days,25–30°C
Barley,Sandy,Rust,Neem Extract,Organic Farming,Maharashtra,90 days,20–25°C
Groundnut,Sandy,Wilt,Neem Extract,Mulching,Andhra Pradesh,90 days,20–25°C
Sesamum,Black Cotton,Blight,Crop Rotation,Organic Farming,Himachal Pradesh,120 days,20–25°C
Ginger,Sandy,Blight,Soil Solarization,Mulching,Meghalaya,90 days,25–30°C
Garlic,Alluvial,Wilt,Neem Extract,Mulching,Goa,150 days,20–25°C
Gram,Red Loamy,Wilt,Fungicide Spray,Mulching,Sikkim,90 days,20–25°C
Wheat,Sandy,Smut,Crop Rotation,Mulching,Madhya Pradesh,120 days,15–20°C
Arhar/Tur,Peaty,Blight,Resistant Varieties,Mulching,Andhra Pradesh,120 days,20–25°C
Jowar,Red Loamy,Blight,Resistant Varieties,Organic Farming,Tripura,150 days,25–30°C
Turmeric,Alluvial,Rust,Crop Rotation,Organic Farming,Meghalaya,120 days,25–30°C
Ginger,Black Cotton,Blight,Neem Extract,Organic Farming,Tripura,150 days,25–30°C
Sesamum,Laterite,Rust,Neem Extract,Mulching,Sikkim,120 days,20–25°C
Black pepper,Alluvial,Blight,Fungicide Spray,Organic Farming,Tripura,150 days,20–25°C
Rice,Alluvial,Smut,Soil Solarization,Drip Irrigation,Bihar,120 days,25–30°C
Niger Seed,Red Loamy,Rust,Soil Solarization,Organic Farming,Maharashtra,90 days,20–25°C
Barley,Sandy,Wilt,Fungicide Spray,Mulching,Telangana,150 days,20–25°C
Castor Seed,Alluvial,Rust,Neem Extract,Mulching,Odisha,150 days,20–25°C
Horse Gram,Black Cotton,Wilt,Crop Rotation,Organic Farming,Tripura,150 days,20–25°C
Khesari,Alluvial,Wilt,Crop Rotation,Mulching,Uttar Pradesh,120 days,20–25°C
Sesamum,Black Cotton,Wilt,Crop Rotation,Organic Farming,Gujarat,120 days,25–30°C
Banana,Red Loamy,Blight,Fungicide Spray,Organic Farming,Chhattisgarh,90 days,20–25°C
Groundnut,Sandy,Wilt,Neem Extract,Mulching,Jharkhand,120 days,20–25°C
Cardamom,Red Loamy,Blight,Soil Solarization,Mulching,Karnataka,150 days,20–25°C
Cardamom,Black Cotton,Wilt,Neem Extract,Mulching,Himachal Pradesh,90 days,25–30°C
Jute,Laterite,Rust,Crop Rotation,Organic Farming,Odisha,90 days,20–25°C
Tapioca,Peaty,Blight,Fungicide Spray,Organic Farming,Tamil Nadu,150 days,20–25°C
Garlic,Red Loamy,Blight,Crop Rotation,Mulching,Goa,150 days,20–25°C
Maize,Black Cotton,Rust,Crop Rotation,Drip Irrigation,Telangana,90 days,25–30°C
Bajra,Laterite,Wilt,Soil Solarization,Organic Farming,Mizoram,150 days,20–25°C
Cashewnut,Laterite,Blight,Soil Solarization,Organic Farming,Goa,150 days,25–30°C
Sunflower,Black Cotton,Wilt,Crop Rotation,Mulching,Assam,90 days,25–30°C
Onion,Black Cotton,Wilt,Resistant Varieties,Mulching,Sikkim,90 days,20–25°C
Arhar/Tur,Peaty,Wilt,Fungicide Spray,Mulching,Haryana,120 days,20–25°C
Sunflower,Black Cotton,Blight,Neem Extract,Mulching,Assam,90 days,25–30°C
Cardamom,Black Cotton,Blight,Neem Extract,Mulching,Himachal Pradesh,120 days,25–30°C
Arhar/Tur,Laterite,Blight,Neem Extract,Mulching,Madhya Pradesh,120 days,20–25°C
Niger Seed,Red Loamy,Rust,Resistant Varieties,Organic Farming,Maharashtra,150 days,25–30°C
Jowar,Red Loamy,Wilt,Resistant Varieties,Mulching,Tamil Nadu,90 days,25–30°C
Ragi,Laterite,Wilt,Crop Rotation,Organic Farming,Rajasthan,150 days,25–30°C
Ragi,Black Cotton,Wilt,Neem Extract,Organic Farming,Rajasthan,150 days,20–25°C
Black pepper,Peaty,Blight,Resistant Varieties,Mulching,Sikkim,120 days,20–25°C
Cardamom,Red Loamy,Wilt,Resistant Varieties,Organic Farming,Karnataka,120 days,20–25°C
Tapioca,Peaty,Wilt,Neem Extract,Organic Farming,Odisha,150 days,25–30°C
Cowpea (Lobia),Sandy,Blight,Neem Extract,Mulching,Goa,150 days,20–25°C
Garlic,Alluvial,Blight,Neem Extract,Mulching,Gujarat,150 days,20–25°C
Maize,Red Loamy,Rust,Neem Extract,Drip Irrigation,Madhya Pradesh,90 days,25–30°C
Ginger,Black Cotton,Wilt,Fungicide Spray,Mulching,Goa,90 days,20–25°C
Niger Seed,Peaty,Blight,Fungicide Spray,Mulching,Andhra Pradesh,120 days,25–30°C
Cotton,Black Cotton,Rust,Soil Solarization,Organic Farming,Kerala,150 days,25–30°C
Sweet Potato,Black Cotton,Wilt,Fungicide Spray,Mulching,Uttarakhand,150 days,20–25°C
Bajra,Red Loamy,Rust,Crop Rotation,Organic Farming,Andhra Pradesh,150 days,25–30°C
Tapioca,Red Loamy,Blight,Neem Extract,Organic Farming,Karnataka,90 days,20–25°C
Groundnut,Sandy,Rust,Crop Rotation,Mulching,Chhattisgarh,150 days,20–25°C
Soyabean,Black Cotton,Wilt,Neem Extract,Mulching,Jharkhand,120 days,25–30°C
Moong (Green Gram),Red Loamy,Wilt,Resistant Varieties,Organic Farming,Madhya Pradesh,90 days,20–25°C
Sunflower,Black Cotton,Blight,Neem Extract,Organic Farming,West Bengal,90 days,25–30°C
Peas & beans (Pulses),Black Cotton,Wilt,Neem Extract,Mulching,Gujarat,90 days,20–25°C
Cardamom,Red Loamy,Blight,Crop Rotation,Organic Farming,Himachal Pradesh,90 days,25–30°C
Tobacco,Red Loamy,Rust,Resistant Varieties,Mulching,Meghalaya,90 days,20–25°C
Jowar,Peaty,Blight,Neem Extract,Organic Farming,Tripura,150 days,20–25°C
Cardamom,Black Cotton,Rust,Soil Solarization,Mulching,Bihar,150 days,20–25°C
Wheat,Alluvial,Smut,Fungicide Spray,Mulching,Bihar,120 days,15–20°C
Sesamum,Black Cotton,Blight,Neem Extract,Mulching,Karnataka,150 days,20–25°C
Sesamum,Black Cotton,Wilt,Fungicide Spray,Mulching,Sikkim,90 days,20–25°C
Sunflower,Black Cotton,Wilt,Soil Solarization,Organic Farming,Assam,90 days,25–30°C
Cotton,Black Cotton,Wilt,Neem Extract,Mulching,Odisha,90 days,25–30°C
Black pepper,Alluvial,Rust,Crop Rotation,Mulching,Bihar,90 days,20–25°C
Khesari,Black Cotton,Blight,Resistant Varieties,Organic Farming,Tripura,150 days,25–30°C
Wheat,Sandy,Smut,Neem Extract,Mulching,Bihar,120 days,20–25°C
Horse Gram,Black Cotton,Rust,Soil Solarization,Mulching,Haryana,90 days,20–25°C
Groundnut,Red Loamy,Blight,Fungicide Spray,Mulching,Andhra Pradesh,90 days,20–25°C
Onion,Red Loamy,Rust,Neem Extract,Organic Farming,Chhattisgarh,150 days,25–30°C
Turmeric,Sandy,Blight,Neem Extract,Organic Farming,Madhya Pradesh,90 days,25–30°C
Tobacco,Red Loamy,Blight,Resistant Varieties,Mulching,Kerala,120 days,25–30°C
Niger Seed,Peaty,Wilt,Fungicide Spray,Organic Farming,Goa,120 days,25–30°C
Tapioca,Red Loamy,Blight,Neem Extract,Organic Farming,Madhya Pradesh,150 days,25–30°C
Potato,Alluvial,Wilt,Resistant Varieties,Organic Farming,Meghalaya,90 days,20–25°C
Moong (Green Gram),Red Loamy,Rust,Resistant Varieties,Mulching,Karnataka,90 days,25–30°C
Sesamum,Laterite,Wilt,Fungicide Spray,Organic Farming,Gujarat,90 days,20–25°C
Soyabean,Red Loamy,Rust,Soil Solarization,Organic Farming,Jharkhand,120 days,20–25°C
Moong (Green Gram),Red Loamy,Wilt,Resistant Varieties,Organic Farming,Assam,120 days,25–30°C
Moong (Green Gram),Peaty,Rust,Soil Solarization,Mulching,Assam,90 days,20–25°C
Wheat,Sandy,Rust,Crop Rotation,Irrigation,Haryana,120 days,20–25°C
Peas & beans (Pulses),Black Cotton,Wilt,Fungicide Spray,Mulching,Haryana,120 days,25–30°C
Gram,Red Loamy,Blight,Soil Solarization,Organic Farming,Odisha,90 days,20–25°C
Potato,Alluvial,Blight,Crop Rotation,Mulching,Meghalaya,150 days,25–30°C
Sweet Potato,Red Loamy,Wilt,Crop Rotation,Organic Farming,Mizoram,150 days,25–30°C
Wheat,Alluvial,Rust,Neem Extract,Mulching,Punjab,120 days,20–25°C
Sugarcane,Sandy,Blight,Crop Rotation,Organic Farming,Gujarat,150 days,25–30°C
Turmeric,Sandy,Rust,Resistant Varieties,Mulching,Uttarakhand,90 days,20–25°C
Gram,Black Cotton,Rust,Resistant Varieties,Mulching,Assam,120 days,20–25°C
Bajra,Red Loamy,Rust,Soil Solarization,Organic Farming,Odisha,120 days,20–25°C
Niger Seed,Red Loamy,Blight,Soil Solarization,Mulching,Maharashtra,150 days,20–25°C
Tapioca,Red Loamy,Blight,Fungicide Spray,Mulching,Madhya Pradesh,90 days,20–25°C
Onion,Red Loamy,Rust,Neem Extract,Mulching,Bihar,90 days,25–30°C
Cotton,Black Cotton,Blight,Crop Rotation,Mulching,Jharkhand,90 days,20–25°C
Sugarcane,Red Loamy,Wilt,Soil Solarization,Organic Farming,Mizoram,120 days,25–30°C
Potato,Alluvial,Blight,Crop Rotation,Organic Farming,Punjab,150 days,25–30°C
Moong (Green Gram),Red Loamy,Rust,Fungicide Spray,Organic Farming,Odisha,150 days,20–25°C
Black pepper,Peaty,Rust,Soil Solarization,Organic Farming,Tripura,90 days,20–25°C
Black pepper,Alluvial,Rust,Fungicide Spray,Organic Farming,Bihar,150 days,25–30°C
Gram,Black Cotton,Blight,Fungicide Spray,Organic Farming,Kerala,150 days,20–25°C
Cotton,Black Cotton,Blight,Resistant Varieties,Organic Farming,Arunachal Pradesh,120 days,20–25°C
Soyabean,Red Loamy,Wilt,Soil Solarization,Mulching,Sikkim,150 days,20–25°C
Rice,Red Loamy,Smut,Resistant Varieties,SRI Method,West Bengal,180 days,30–35°C
Moong (Green Gram),Peaty,Rust,Crop Rotation,Organic Farming,Telangana,120 days,20–25°C
Tapioca,Peaty,Blight,Resistant Varieties,Mulching,Madhya Pradesh,120 days,25–30°C
Black pepper,Alluvial,Rust,Neem Extract,Mulching,Karnataka,150 days,20–25°C
Jowar,Red Loamy,Wilt,Resistant Varieties,Organic Farming,Gujarat,150 days,20–25°C
Tapioca,Red Loamy,Wilt,Crop Rotation,Mulching,Odisha,120 days,20–25°C
Urad,Red Loamy,Wilt,Fungicide Spray,Mulching,Uttarakhand,150 days,20–25°C
Sugarcane,Red Loamy,Rust,Soil Solarization,Mulching,Mizoram,120 days,25–30°C
Cowpea (Lobia),Laterite,Blight,Fungicide Spray,Mulching,Maharashtra,150 days,20–25°C
Sesamum,Laterite,Wilt,Neem Extract,Organic Farming,Karnataka,150 days,20–25°C
Dry Chillies,Peaty,Rust,Soil Solarization,Mulching,Uttar Pradesh,90 days,20–25°C
Gram,Black Cotton,Rust,Neem Extract,Organic Farming,Sikkim,150 days,25–30°C
Cotton,Peaty,Rust,Crop Rotation,Mulching,Telangana,150 days,25–30°C
Jute,Laterite,Wilt,Neem Extract,Organic Farming,Punjab,90 days,25–30°C
Potato,Red Loamy,Blight,Crop Rotation,Organic Farming,Tripura,120 days,25–30°C
Horse Gram,Black Cotton,Wilt,Resistant Varieties,Mulching,Haryana,120 days,20–25°C
Banana,Laterite,Blight,Neem Extract,Mulching,Bihar,90 days,25–30°C
Garlic,Alluvial,Blight,Fungicide Spray,Organic Farming,Tripura,120 days,25–30°C
Coconut,Red Loamy,Blight,Resistant Varieties,Organic Farming,Maharashtra,120 days,25–30°C
Sweet Potato,Red Loamy,Wilt,Fungicide Spray,Organic Farming,West Bengal,120 days,20–25°C
Soyabean,Red Loamy,Wilt,Crop Rotation,Mulching,Sikkim,120 days,20–25°C
Rice,Alluvial,Blast,Resistant Varieties,SRI Method,Tamil Nadu,180 days,30–35°C
Masoor,Red Loamy,Wilt,Fungicide Spray,Organic Farming,Bihar,120 days,20–25°C
Cardamom,Black Cotton,Wilt,Neem Extract,Organic Farming,Karnataka,120 days,20–25°C
Sugarcane,Sandy,Blight,Resistant Varieties,Mulching,Jharkhand,90 days,25–30°C
Khesari,Black Cotton,Rust,Crop Rotation,Organic Farming,Assam,150 days,20–25°C
Sesamum,Laterite,Blight,Soil Solarization,Organic Farming,Himachal Pradesh,120 days,20–25°C
Moong (Green Gram),Peaty,Wilt,Soil Solarization,Mulching,Karnataka,150 days,20–25°C
Sesamum,Laterite,Wilt,Resistant Varieties,Organic Farming,Bihar,90 days,20–25°C
Jute,Black Cotton,Rust,Neem Extract,Organic Farming,Goa,150 days,20–25°C
Dry Chillies,Laterite,Wilt,Fungicide Spray,Mulching,Chhattisgarh,150 days,20–25°C
Dry Chillies,Laterite,Rust,Resistant Varieties,Mulching,Odisha,120 days,20–25°C
Wheat,Alluvial,Smut,Resistant Varieties,Irrigation,Haryana,120 days,20–25°C
Niger Seed,Red Loamy,Blight,Resistant Varieties,Organic Farming,Maharashtra,120 days,25–30°C
Banana,Red Loamy,Wilt,Soil Solarization,Organic Farming,Jharkhand,150 days,25–30°C
Jowar,Red Loamy,Blight,Crop Rotation,Mulching,Telangana,150 days,25–30°C
Jute,Black Cotton,Wilt,Soil Solarization,Mulching,Andhra Pradesh,120 days,20–25°C
Sweet Potato,Black Cotton,Wilt,Soil Solarization,Mulching,Uttarakhand,90 days,25–30°C
Urad,Red Loamy,Wilt,Fungicide Spray,Organic Farming,Himachal Pradesh,120 days,25–30°C
Garlic,Red Loamy,Rust,Resistant Varieties,Organic Farming,Bihar,150 days,25–30°C
Khesari,Black Cotton,Blight,Soil Solarization,Organic Farming,Karnataka,150 days,25–30°C
Dry Chillies,Laterite,Rust,Resistant Varieties,Organic Farming,Odisha,90 days,25–30°C
Rice,Red Loamy,Blast,Fungicide Spray,SRI Method,Assam,120 days,25–30°C
Wheat,Alluvial,Rust,Resistant Varieties,Mulching,Bihar,150 days,15–20°C
Castor Seed,Laterite,Blight,Neem Extract,Organic Farming,West Bengal,90 days,20–25°C
Arecanut,Black Cotton,Rust,Crop Rotation,Mulching,Jharkhand,120 days,25–30°C
Ragi,Black Cotton,Wilt,Resistant Varieties,Mulching,Gujarat,120 days,20–25°C
Garlic,Red Loamy,Blight,Crop Rotation,Mulching,Bihar,150 days,25–30°C
Sunflower,Black Cotton,Blight,Fungicide Spray,Organic Farming,West Bengal,120 days,25–30°C
Jowar,Red Loamy,Rust,Neem Extract,Mulching,Karnataka,90 days,20–25°C
Peas & beans (Pulses),Laterite,Rust,Resistant Varieties,Organic Farming,Kerala,150 days,25–30°C
Coriander,Sandy,Blight,Fungicide Spray,Organic Farming,Uttarakhand,150 days,25–30°C
Sugarcane,Red Loamy,Blight,Neem Extract,Mulching,Goa,90 days,20–25°C
Black pepper,Alluvial,Rust,Neem Extract,Mulching,Bihar,150 days,25–30°C
Bajra,Red Loamy,Blight,Fungicide Spray,Mulching,Odisha,150 days,25–30°C
Wheat,Sandy,Rust,Resistant Varieties,Mulching,Punjab,150 days,20–25°C
Khesari,Black Cotton,Wilt,Crop Rotation,Organic Farming,Uttar Pradesh,120 days,25–30°C
Soyabean,Black Cotton,Wilt,Neem Extract,Mulching,Arunachal Pradesh,120 days,20–25°C
Black pepper,Peaty,Wilt,Soil Solarization,Mulching,Tripura,150 days,20–25°C
Khesari,Black Cotton,Rust,Soil Solarization,Mulching,Tripura,90 days,20–25°C
Sesamum,Laterite,Wilt,Soil Solarization,Mulching,Sikkim,150 days,20–25°C
Tobacco,Red Loamy,Rust,Neem Extract,Organic Farming,Gujarat,150 days,25–30°C
Ginger,Sandy,Wilt,Crop Rotation,Mulching,Meghalaya,120 days,25–30°C
Ginger,Black Cotton,Blight,Soil Solarization,Mulching,Tripura,150 days,20–25°C
Potato,Alluvial,Blight,Resistant Varieties,Organic Farming,Punjab,90 days,25–30°C
Bajra,Laterite,Wilt,Neem Extract,Organic Farming,Odisha,90 days,20–25°C
Groundnut,Red Loamy,Blight,Soil Solarization,Mulching,Chhattisgarh,150 days,25–30°C
